ID;Номенклатура;Количество;Стоимость;Комментарий
1001;труба БШ 219х8;1113;10000;3999 - Dima raper;10000 - Dima hip-hop;1000000 - sdfsdf
2015;рп 90х90х7 ст 3СП;9983;10000
2016;рп 90х90х8 ст 3СП;82;10000
2017;рп 100х100х7 ст 3СП АРБЗ;2624;10000
2018;рп 100х100х7 ст 3СП Балакого;7673;10000
2019;рп 100х100х8 ст 3СП Балакого;445;10000
2020;рп 100х100х8 ст 3СП;6089;10000
2022;рп 100х100х10 ст 3СП;2315;10000
2023;рп 100х100х10  15 ХСНД;6269;10000
2024;рп 110х110х7 ст3СП;9534;10000
2025;рп 110х110х8 ст 3СП;659;10000
2026;рп 110х110х10 ст 3СП;8623;10000
2027;рп 125х125х8 ст 3СП АРБЗ;1739;10000
2028;рп 125х125х9 ст 3СП;840;10000
2029;рп 125х125х10 ст 3СП;555;10000
2030;рп 140х140х9 ст 3СП;5147;10000
2031;рп 140х140х10 ст 3СП;3088;10000
2032;рп 140х140х12 ст 3СП;2862;10000
2033;рп 140х90х10 ст 3СП;423;10000
2034;рп 160х160х10 ст 3СП;1706;10000
2035;рп 160х160х12 ст 3СП;509;10000
2036;нп 160х160х16 ст 3СП;4280;10000
2037;рп 160х100х10 ст3сп;9296;10000
2038;рп 180х180х11 ст3;2456;10000
2039;рп 200х200х12 ст3сп;215;10000
2040;рп 200х200х16 ст3сп;8120;10000
2041;рп 200х200х20 ст3сп;1214;10000
3001;12Б1 Ст 3СП ЗСМК;9532;10000
3002;14 ст 3ПС Метинвест;4687;10000
3003;14Б1 ст 3ПС ЗСМК;7588;10000
3004;16 Ст 3СП Метинвест;3845;10000
3005;16Б1 Ст 3СП ЗСМК;7206;10000
3006;16Б2 Ст 3СП;6835;10000
3007;18 Ст Ст 3СП НТМК;6272;10000
3008;18 СТ 3СП Метинвест;289;10000
3009;18Б1 Ст 3СП;6224;10000
3010;18Б2 Ст 3СП;2765;10000
3011;20 Ст 3СП Метинвест;9612;10000
3012;20Б1 Ст 3СП  НТМК;9815;10000
3013;20Б2 Ст 3СП  НТМК;3366;10000
3014;20К1 Ст 3СП  НТМК;1230;10000
3015;20Ш1 Ст 3СП  НТМК;8794;10000
3016;20Ш2 Ст 3СП  НТМК;1848;10000
3017;20К2 Ст 3СП  НТМК;2679;10000
3018;24 СТ 3СП;8457;10000
3019;24М  Ст 3СП НТМК;8119;10000
3020;24М  Ст 3СП Метинвест;8111;10000
3021;25Б1 Ст 3СП  НТМК;4012;10000
3022;25Б1 Ст 3СП  ЧМК;6321;10000
3023;25Б2 Ст 3СП НТМК;7812;10000
3024;25Б2 Ст 3СП  ЧМК;6601;10000
3025;25К1 Ст 3СП  НТМК;1750;10000
3026;25К1 Ст 3СП  ЧМК;7568;10000
3027;25К2 Ст 3СП  НТМК;841;10000
3028;25Ш1 Ст 3СП  НТМК;5158;10000
3029;25Ш2 Ст 3СП  НТМК;7902;10000
3030;27 СТ 3СП;2820;10000
3031;30Б1 Ст 3СП  НТМК;9044;10000
3032;30Б1 Ст 3СП  ЧМК;9730;10000
3033;30Б2 Ст 3СП  НТМК;4443;10000
3034;30К1 Ст 3СП  НТМК;9148;10000
3035;30К2 Ст 3СП  НТМК;6281;10000
3036;30К3 Ст 3СП НТМК;7038;10000
3037;30Ш1 Ст 3СП  НТМК;8335;10000
3038;30Ш2 Ст 3СП  НТМК;6016;10000
3039;30 Ш2 Ст 3СП  ЧМК;5192;10000
3040;30Ш3 Ст 3СП НТМК;3812;10000
3041;30М  Ст 3СП  НТМК;3116;10000
3042;30  Ст 3СП  Метинвест;803;10000
3043;35Б1 Ст 3СП  НТМК;340;10000
3044;35К1 Ст 3СП  НТМК;4708;10000
3045;35К2 Ст 3СП  НТМК;8863;10000
3046;35Б2 Ст 3СП  НТМК;5753;10000
3047;35Ш1 Ст 3СП  НТМК;1087;10000
3048;35Ш2 Ст 3СП  НТМК;3428;10000
3049;36 Ст 3СП  Метинвест;1327;10000
3050;36М Ст 3СП  НТМК;4124;10000
3051;36М Ст 3СП  Метинвест;3051;10000
3052;40Б1 Ст 3СП  НТМК;6968;10000
3053;40Б2 Ст 3СП НТМК;247;10000
3054;40К1 09Г2С  НТМК (12метров);3037;10000
3056;40К1 Ст3  НТМК;4704;10000
3057;40К2 Ст 3СП НТМК;4508;10000
3058;40К2 Ст 3СП НТМК(СТ345);7668;10000
3059;40К3 Ст 3СП НТМК;4152;10000
3060;40Ш1 С255 ЧМК;5061;10000
3061;40Ш2 Ст 3СП  НТМК;8724;10000
3062;40Ш4 Ст 3СП  НТМК;4836;10000
3063;45Б Ст 3СП НТМК;2362;10000
3064;45Б1 Ст 3СП НТМК;7223;10000
3065;45Б2 Ст 3СП НТМК;8645;10000
3066;45М  Ст 3СП НТМК;6941;10000
3067;45 Ст3ПС Метинвест;8270;10000
3068;45Ш1 Ст 3СП НТМК;6244;10000
3069;45Ш2 Ст 3СП НТМК;2253;10000
3070;50Б1 Ст 3СП НТМК;4425;10000
3071;50Б2 Ст 3СП;1711;10000
3072;50Ш1 Ст 3СП НТМК;6106;10000
3073;50Ш4 Ст 3СП НТМК;9738;10000
3074;50Ш2 Ст 3СП НТМК;8548;10000
3075;55Б1 Ст 3СП НТМК;515;10000
3076;55Б2 Ст 3СП НТМК;1415;10000
3077;60Б1 Ст 3СП НТМК;8254;10000
3078;60Б2 Ст 3СП НТМК;8556;10000
3079;60Ш1 Ст 3СП НТМК;9295;10000
3080;60Ш2 Ст 3СП НТМК;5615;10000
3081;60Ш3 Ст 3СП НТМК(ст355);4999;10000
3082;70Б1Ст 3СП НТМК;7702;10000
3083;70Б2Ст 3СП НТМК;392;10000
3084;70Ш2Ст 3СП НТМК;1083;10000
3085;70Ш1Ст 3СП НТМК;5784;10000
3086;70Ш3Ст 3СП НТМК;8957;10000
4001;лист х/к 0,5 (1х2) Арселор;8688;10000
4002;лист х/к 0,6 (1,25х2,5) Арселор;2004;10000
4003;лист х/к 0,7 (1,25х2,5) Арселор;18859;1010000.123
4004;лист х/к 0,8(1,25х2,5) Арселор;3208;10000
4005;лист х/к 0,85(1,25х2,5) Арселор;2804;10000
4006;лист х/к 0,88(1,25х2,5) Арселор;9352;10000
4007;лист х/к 0,9(1,25х2,5) Арселор;9614;10000
4008;лист х/к 1 (1,25х2,5) Арселор;2942;10000
4009;лист х/к 1,08(1,25х2,5) Арселор;1039;10000
4010;лист х/к 1,15 (1,25х2,5) Арселор;3265;10000
4011;лист х/к 1,18 (1,25х2,5) Арселор;4885;10000
4012;лист х/к 1,2 (1,25х2,5) Арселор;7551;10000
4013;лист х/к 1,3 (1,25х2,5) Арселор;2836;10000
4014;лист х/к 1,5 (1,25х2,5) Арселор;5004;10000
4015;лист х/к 2(1,25х2,5)  Арселор;6418;10000
4016;лист х/к 2,5 (1,25х2,5) ММК;607;10000
4017;лист х/к рул. 1,1х1,25;6278;10000
4018;лист/оцинк рул. 0,4х1,25 Арселор;215;10000
4019;лист/оцинк рул. 0,45х1,25 Арселор;9741;10000
4020;лист/оцинк рул. 0,45х1,25 полимер;6637;10000
4022;лист/оцинк рул. 0,5х1,25 Арселор;769;10000
4023;лист/оцинк рул. 0,6х1,25 Арселор;344;10000
4024;лист/оцинк рул. 0,7х1,25 Арселор;7006;10000
4025;лист/оцинк рул. 0,8х1,25 Арселор;2440;10000
4026;лист/оцинк рул. 0,9х1,25 Арселор;2748;10000
4027;лист/оцинк рул. 0,9х1,0 Арселор;308;10000
4028;лист/оцинк рул. 1,0х1,0 Арселор;6357;10000
4029;лист/оцинк рул. 1,2х1,25 Арселор;4418;10000
4030;лист/оцинк рул. 1,2х1,5 MMK;7451;10000
4031;лист/оцинк рул. 2,0х1,25 Арселор;1084;10000
4032;лист оцин. 1(1,25х2,5) Арселор;6014;10000
4033;лист оцин. 1,2(1,25х2,5) Арселор;2108;10000
4034;лист оцин. 1,3(1,25х2,5) Арселор;8392;10000
4035;лист оцин. 1,5(1,25х2,5) Арселор;8523;10000
4036;лист оцин. 1,6(1,25х2,5) Арселор;409;10000
4037;лист г/к 1,5 (1х2) ММК;8088;10000
4038;лист г/к 1,8 (1х2) ММК;2239;10000
4039;лист г/к 1,8 (1,25х2,5);4431;10000
4040;лист г/к 1,9 ( 1х2) Северсталь;5809;10000
4041;лист г/к 1,9 ( 1,25х2,5) СеверСталь;9090;10000
4042;лист г/к 2 (1х2) Арселор;1663;10000
4043;лист г/к 2(1,25х2,5) Арселор;2047;10000
4044;лист г/к 2(1,25х2,5) Метинвест;8877;10000
4045;лист г/к 2,4(1,25х2,5) Арселор;238;10000
4046;лист г/к 2,5(1,25х2,5) ММК;8249;10000
4047;лист г/к 2,5(1,25х2,5) Арселор;6363;10000
4048;лист г/к 2,6(1,25х2,5) Арселор;9029;10000
4049;лист г/к 2,8 (1,25х2,5)Арселор;6580;10000
4050;лист г/к 3 ( 1х2) Арселор;8070;10000
4051;лист г/к 3 ( 1,25х2,5) Метинв;8188;10000
4052;лист г/к 3 ( 1,25х2,5)рифл.Арселор;4375;10000
4053;лист г/к 3 ( 1,5х6) Арселор;2663;10000
4054;лист г/к 3,8 ( 1,25х2,5)  Арселор;617;10000
4055;лист г/к 3 ( 1,5х6) 09Г2С;5483;10000
4056;лист г/к 4 ( 1,25х6) ст 3;6913;10000
4057;лист г/к 4 ( 1,25х6) 09Г2С;5438;10000
4058;лист г/к 4(1,5х6)  Метинвест;8059;10000
4059;лист  4 рефл. Арселор;8042;10000
4060;лист 4(1,5х6) рефл. СеверСталь;8148;10000
4061;лист г/к 4 СеверСталь;6143;10000
4062;лист г/к 4 рефл. Арселор;3594;10000
4063;лист г/к 5 СеверСталь 09Г2С;2155;10000
4064;лист г/к 5 Метинв;3445;10000
4065;лист г/к 5 (1,5х6)рифл.;9140;10000
4066;лист г/к 6 (1,5х6)Mетинв;3110;10000
4067;лист г/к 6 рефл. Арселор;3889;10000
4068;лист г/к 6рифл.(1,08х5,0);8295;10000
4069;лист г/к 6 Метинв(1,5х6);9970;10000
4070;лист г/к 6(1,5х6) рефл. СеверСталь;41;10000
4071;лист г/к 8 (1,5х6) 09Г2С;6798;10000
4072;лист г/к 8  09Г2С Арселор;2560;10000
4073;лист г/к 8 рефл. Арселор;2188;10000
4074;лист г/к 8 Метинв.(2х6);2475;10000
4075;лист г/к 8 Метинв.(1,5х6);8098;10000
4076;лист г/к 8 Арселор;3959;10000
4077;лист г/к 10 ЧМК;1522;10000
4078;лист г/к 10 Метинв.;5071;10000
4079;лист г/к 10 Арселор;638;10000
4080;лист г/к 10 09Г2С;3321;10000
4081;лист г/к 12 09Г2С Сев.Ст;9357;10000
4082;лист г/к 12  СеверСталь;4679;10000
4083;лист г/к 12  MMK;9597;10000
4084;лист г/к 12 Метинв.;8556;10000
4085;лист г/к 12 (1,5х6) Арселор;7120;10000
4086;лист г/к 12 (1,5х6) ЧМК;2172;10000
4087;лист г/к 12  09Г2С УС;8478;10000
4088;лист г/к 14 СТ 255;2743;10000
4089;лист г/к 14 09Г2С;2851;10000
4090;лист г/к 14 (1,5х6)09Г2С СеверСталь;7701;10000
4091;лист г/к 14 УС;8491;10000
4092;лист г/к 14 Метинв;9948;10000
4093;лист г/к 14 09Г2С УС;2806;10000
4094;лист г/к 16 ЧМК;244;10000
4095;лист г/к 16  Метинв;9894;10000
4096;лист г/к 16 (1,5х6) УС;9364;10000
4097;лист г/к 18(1,5х6)СеверСталь;255;10000
4098;лист г/к 18(1,5х6)СеверСталь 09Г2С;3808;10000
4099;лист г/к 18  Метинв;4610;10000
4100;лист г/к 18 09г2С Метинв;728;10000
4101;лист г/к 18 СТ 255;2241;10000
4102;лист г/к 20 ММК;5984;10000
4103;лист г/к 20 ММК(СТ345);200;10000
4104;лист г/к 20 (1,5х6) ЧМК;6985;10000
4105;лист г/к 20 09г2с УС;7174;10000
4106;лист г/к 20 (1,5x 6) Метинв;4589;10000
4107;лист г/к 22 09г2с УС;5732;10000
4108;лист г/к 22 УС;43;10000
4109;лист г/к 24 (1,5х6) УС;406;10000
4110;лист г/к 24 УС 09ГС;3315;10000
4111;лист г/к 24 СТ 255;83;10000
4112;лист г/к 25 10ХСНД  (1,450х6,700);1609;10000
4113;лист г/к 25 ЧМК;6871;10000
4114;лист г/к 25 (1,5x 6) 09Г2С АшМЗ;8329;10000
4115;лист г/к 25 (1,5x 6) Метинв;2401;10000
4116;лист г/к 25 (2х6) УС;6701;10000
4117;лист г/к 26 (1,5х6) 09Г2С;5553;10000
4118;лист г/к 28 УС;7059;10000
4119;лист г/к 28 СТ 255;9889;10000
4120;лист г/к 28 Метинв;7805;10000
4121;лист г/к 30 УС;8786;10000
4122;лист г/к 30 УС 09Г2С;6253;10000
4123;лист г/к 30 Метинв;4749;10000
4124;лист г/к 32 (1,5х6) 09Г2С;6559;10000
4125;лист г/к 36 09Г2С;5089;10000
4126;лист г/к 36 (1,5х6);8268;10000
4127;лист г/к 36 (1,5х4,9);9965;10000
4128;лист г/к 38 (1,5х5,5);4669;10000
4129;лист г/к 40 Метинв 09Г2С;3136;10000
4130;лист г/к 40 (1,5х6);8398;10000
4131;лист г/к 40 (1,5х5,3);6166;10000
4132;лист г/к 45(1,5х6) 09Г2С;7518;10000
4133;лист г/к 50(1,5х6) 09Г2С АшМЗ;9321;10000
4134;лист г/к 50 УС;2332;10000
4135;лист г/к 60(1,5х5,9) 09Г2С;2568;10000
4136;лист г/к 60 (1,5х6,0)Метинвест;2264;10000
4137;лист г/к 70 (1,5х6,0)Метинвест;5954;10000
4138;лист г/к 80 (1,5х6,0)Метинвест;3643;10000
4139;лист г/к 100 (1,5х6,0)Метинвест;8334;10000
4140;Лист просечно-вытяжной 406;466;10000
4141;Лист просечно-вытяжной 506;1333;10000
5001;6,5П УзМЗ;4582;10000
5002;8П  УзМЗ;9094;10000
5003;10П  УзМЗ;8600;10000
5004;12П ст 3ПС ЗМСК;2951;10000
5005;12У ст 3СП ЗСМК;2161;10000
5006;14П ст 3ПС ЗМСК;9744;10000
5007;14У ст 3ПС Магнитогорск;9552;10000
5008;16П ст 3ПС ЗМСК;7361;10000
5009;16У ст 3ПС;1569;10000
5010;18У ст 3СП НТМК;6601;10000
5011;18П ст 3СП НТМК;7588;10000
5012;20У ст 3СП НТМК;6214;10000
5013;20П ст 3ПС НТМК;9314;10000
5014;22 П ст 3ПС НТМК;4140;10000
5015;22 У ст 3ПС НТМК;4484;10000
5016;24У ст 3ПС НТМК;1094;10000
5017;24П ст 3ПС НТМК;9282;10000
5018;27У ст 3СП НТМК;7209;10000
5019;27П ст 3СП НТМК;2608;10000
5020;30П ст 3СП НТМК;6428;10000
5021;30У ст3СП Метинв;6417;10000
5022;40П ст3СП НТМК;8891;10000
6001;Арм ф 8 (35гс);5526;10000
6002;Арм ф 8 (35гс)бухтыЧМК;9588;10000
6003;Арм ф 8 пруток;694;10000
6004;Арм ф10 А 500 ЕКС;-7977;10000
6005;Арм ф10 А 500 Арселор;7411;10000
6006;Арм ф10 А 500С;8604;10000
6007;Арм ф 10 (35гс) УМК;7810;10000
6008;Арм ф12 А 500С АРСЕЛОР;7136;10000
6009;Арм ф12 А 500С ЕКС (новая);5586;10000
6010;Арм ф12 А 500С ЧМК;5348;10000
6011;Арм ф12 А 600С ЗСМК;2218;10000
6012;Арм ф12 АIII 35ГС;159;10000
6013;Арм ф14 АIII 35ГС;2358;10000
6014;Арм ф14 А 500С Арселор;5894;10000
6015;Арм ф14 А 500С ЧМК;6614;10000
6016;Арм ф14 А 500С ЕКС;7352;10000
6017;Арм ф14 А 500С ЕКС(новая);9892;10000
6018;Арм ф16 А 500С Арселор;9020;10000
6019;Арм ф16 А 500С ЧМК;1060;10000
6020;Арм ф16 А 500С ЕКС(новая);5366;10000
6021;Арм ф16;3893;10000
6022;Арм ф18 А 500С Арселор;9838;10000
6023;Арм ф18 35ГС;1082;10000
6024;Арм ф18 А 500С ЧМК;3353;10000
6025;Арм ф18 А 500С ЕКС(новая);8594;10000
6026;Арм ф20 А 500С ЕКС(новая);1968;10000
6027;Арм ф20 А 500С Арселор;5415;10000
6028;Арм ф20 А 500С ЧМК;6543;10000
6029;Арм ф20 (35ГС);4276;10000
6030;Арм ф22(35гс);5739;10000
6031;Арм ф22 А 500С ЧМК;5983;10000
6032;Арм ф22 А 500С ЕКС(новая);7177;10000
6033;Арм ф22 А 500С Арселор;1042;10000
6034;Арм ф25 А 400С 35ГС;163;10000
6035;Арм ф25 А 500С ЧМК;175;10000
6036;Арм ф25 А 500С Арселор;7230;10000
6037;Арм ф25 А 500С ЕКС(новая);3625;10000
6038;Арм ф28 А 400С 35ГС;3358;10000
6039;Арм ф28 А 500С ЧМК;8869;10000
6040;Арм ф28 А 500С ЕКС(новая);1599;10000
6041;Арм ф28 А 500С Арселор;8671;10000
6042;Арм ф32 А 500С ЧМК;938;10000
6043;Арм ф32 35ГС;724;10000
6044;Арм ф32 А 500С ЕКС(новая);4551;10000
6045;Арм ф32 А 500С;4991;10000
6046;Арм ф40 А 500С ЗСМК;4417;10000
7001;6,5 ст3пс;2030;10000
7002;6,0 ст3пс;1144;10000
7003;8,0 ст3пс ЧМК;1348;10000
7004;8 ст 3пс ТТЗ;3676;10000
7005;10 ст 3пс ЗСМК;2826;10000
7006;Круг 32;7909;10000
7007;Круг 16;8023;10000
7008;Круг 18;3922;10000
7009;Круг 10;4546;10000
7010;Круг 12;8021;10000
7011;Круг 22;5875;10000
7012;Круг 28;1776;10000
7013;Круг 40;8473;10000
7014;Круг 42;1778;10000
7015;Круг 50;7971;10000
7016;Круг 65;7844;10000
7017;Круг 100;9323;10000
7018;Круг 145;9448;10000
7019;Круг 180;2265;10000
7020;Круг 300;8898;10000
7021;Круг 330;4275;10000
7022;Круг 250;819;10000
7023;Круг 250х6;4355;10000
7024;Круг 130х6;1442;10000
7025;Квадрат 210х210;7760;10000
7026;Квадрат 300х300;5253;10000
